ID,Region,Sub-region,Country,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
3.1.5,Eastern Mediterranean,EMR B,Kuwait,99,99,93,94,99,99,99,98,99,99,99,99,99,97,97,97,99,99,96,99,95,99,98,98,95,85,75,66,98,97,95,93,91,88,80,79,71,48
3.1.6,Eastern Mediterranean,EMR B,Lebanon,79,79,79,79,79,79,79,79,79,79,74,69,63,58,53,59,65,71,77,83,89,85,85,88,88,76,65,61,58,48,39,30,23,16,8,1,0,0
3.1.7,Eastern Mediterranean,EMR B,Liberia,87,80,64,58,74,80,71,65,83,76,71,63,62,41,47,52,58,63,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.1.8,Eastern Mediterranean,EMR B,Oman,99,99,99,99,99,99,99,99,99,98,97,96,98,98,98,99,99,99,99,98,98,98,98,97,95,96,96,98,94,87,86,79,65,53,34,24,10,22
3.1.9,Eastern Mediterranean,EMR B,Qatar,99,99,99,99,97,97,98,99,99,96,92,99,99,99,93,99,92,91,87,89,87,90,87,86,86,86,84,79,79,73,60,62,62,62,69,22,10,26
3.1.10,Eastern Mediterranean,EMR B,Saudi Arabia,96,98,98,98,98,98,98,98,98,97,96,95,97,97,96,97,94,94,92,93,92,92,94,93,91,88,95,88,90,81,77,77,79,71,65,53,12,8
3.1.11,Eastern Mediterranean,EMR B,Syrian Arab Republic,67,62,53,54,58,61,80,82,82,81,81,81,81,82,83,84,80,84,86,87,84,85,85,86,86,84,84,87,86,52,37,64,27,23,19,22,14,13
3.1.12,Eastern Mediterranean,EMR B,Tunisia,98,96,98,98,94,96,96,97,98,98,98,98,96,95,90,94,92,95,90,94,92,92,91,91,92,94,94,93,93,87,81,67,65,55,42,43,0,0
3.1.13,Eastern Mediterranean,EMR B,United Arab Emirates,99,99,99,99,98,96,95,94,93,92,92,92,92,94,94,94,94,94,96,95,95,90,90,90,90,85,82,80,78,74,71,67,60,53,51,41,42,34
3.2.1,Eastern Mediterranean,EMR D,Afghanistan,62,62,62,60,57,59,64,62,60,59,55,53,50,48,39,35,37,27,31,31,38,42,41,40,25,22,19,20,22,34,31,14,14,14,9,8,0,11
3.2.2,Eastern Mediterranean,EMR D,Djibouti,75,75,74,71,80,83,84,85,84,73,74,67,65,60,66,62,49,50,23,21,31,41,41,42,41,41,53,85,75,68,22,19,27,20,18,15,0,0
